,car_name,car_prices_in_rupee,kms_driven,fuel_type,transmission,ownership,engine,Seats,age
0,Jeep Compass 2.0,1002999,86226,Diesel,Manual,1st Owner,1956 cc,5 Seats,6
1,Renault Duster RXZ,1283000,13248,Petrol,Automatic,1st Owner,1330 cc,5 Seats,2
2,Toyota Camry 2.5,1639999,60343,Petrol,Automatic,1st Owner,2494 cc,5 Seats,7
3,Honda Jazz VX,777000,26696,Petrol,Automatic,1st Owner,1199 cc,5 Seats,5
4,Volkswagen Polo 1.2,515000,69414,Petrol,Manual,1st Owner,1199 cc,5 Seats,7
5,Volkswagen Vento 1.2,766000,49719,Petrol,Automatic,1st Owner,1197 cc,5 Seats,6
6,Volkswagen Vento 1.2,758000,43688,Petrol,Automatic,1st Owner,1197 cc,5 Seats,6
7,Honda WR-V VX,1160000,14470,Diesel,Manual,1st Owner,1498 cc,5 Seats,2
8,Honda City i,699000,21429,Petrol,Automatic,1st Owner,1497 cc,5 Seats,8
9,Renault Duster Petrol,753000,31750,Petrol,Automatic,1st Owner,1498 cc,5 Seats,6
10,Maruti Baleno 1.2,643000,38203,Petrol,Manual,1st Owner,1197 cc,5 Seats,6
11,Honda City i,543000,110284,Petrol,Automatic,1st Owner,1497 cc,5 Seats,9
12,Mahindra XUV300 W6,861999,10381,Petrol,Manual,1st Owner,1197 cc,5 Seats,3
13,Jeep Compass 1.4,1678000,32378,Petrol,Automatic,1st Owner,1368 cc,5 Seats,4
14,Honda City V,1002999,38906,Petrol,Manual,1st Owner,1498 cc,5 Seats,3
15,Hyundai Grand i10,563000,59313,Petrol,Automatic,2nd Owner,1197 cc,5 Seats,7
16,Hyundai i20 1.4,667000,85672,Diesel,Manual,1st Owner,1396 cc,5 Seats,6
17,Maruti Ciaz 1.4,673000,34971,Petrol,Manual,2nd Owner,1373 cc,5 Seats,6
18,Nissan Micra XL,321000,35894,Petrol,Manual,2nd Owner,1198 cc,5 Seats,8
19,Maruti Ciaz Alpha,850000,56000,Petrol,Automatic,1st Owner,1462 cc,5 Seats,4
20,Maruti Swift Dzire,434000,56568,Petrol,Manual,1st Owner,1197 cc,5 Seats,9
21,Renault KWID RXT,311000,48872,Petrol,Manual,1st Owner,799 cc,5 Seats,6
22,Renault KWID RXL,370000,17346,Petrol,Manual,1st Owner,799 cc,5 Seats,4
23,Jeep Compass 2.0,1588000,15414,Diesel,Manual,1st Owner,1956 cc,5 Seats,4
24,Hyundai Grand i10,541000,21239,Petrol,Manual,1st Owner,1197 cc,5 Seats,5
25,Maruti Alto K10,223000,62361,Petrol,Manual,1st Owner,998 cc,5 Seats,9
26,Hyundai Verna 1.6,588000,79329,Petrol,Manual,2nd Owner,1591 cc,5 Seats,8
27,Hyundai Tucson GLS,2278000,11945,Petrol,Automatic,1st Owner,1999 cc,5 Seats,2
28,Maruti Swift Dzire,612000,51324,Petrol,Manual,1st Owner,1197 cc,5 Seats,5
29,Nissan Magnite XV,744000,5717,Petrol,Manual,1st Owner,999 cc,5 Seats,2
30,Honda City i,839000,46417,Petrol,Automatic,1st Owner,1497 cc,5 Seats,7
31,Honda Amaze S,420000,100161,Petrol,Manual,1st Owner,1198 cc,5 Seats,8
32,Hyundai Grand i10,491000,35424,Petrol,Manual,1st Owner,1197 cc,5 Seats,7
33,Hyundai EON Era,293000,51085,Petrol,Manual,1st Owner,814 cc,5 Seats,6
34,Maruti Alto 800,298000,30983,Petrol,Manual,1st Owner,796 cc,5 Seats,7
35,Renault KWID RXL,260000,32681,Petrol,Manual,1st Owner,799 cc,5 Seats,7
36,Hyundai EON Magna,238000,57581,Petrol,Manual,2nd Owner,814 cc,5 Seats,9
37,Honda Jazz 1.2,605000,39821,Petrol,Automatic,1st Owner,1199 cc,5 Seats,7
38,Maruti Alto 800,323000,21186,Petrol,Manual,1st Owner,796 cc,5 Seats,5
39,Renault KWID RXL,326000,34972,Petrol,Manual,1st Owner,799 cc,5 Seats,5
40,Honda Amaze S,421000,46623,Petrol,Manual,2nd Owner,1198 cc,5 Seats,8
41,Kia Seltos GTX,1553000,18557,Petrol,Manual,1st Owner,1353 cc,5 Seats,4
42,Jeep Compass 2.0,1243000,58463,Diesel,Manual,1st Owner,1956 cc,5 Seats,6
43,MG Hector Plus,1850000,5000,Petrol,Automatic,1st Owner,1451 cc,6 Seats,3
44,Tata Harrier XZ,1590000,66000,Diesel,Manual,1st Owner,1956 cc,5 Seats,4
45,Renault Duster Petrol,890000,14000,Petrol,Automatic,1st Owner,1498 cc,5 Seats,4
46,BMW 5 Series,4300000,61000,Diesel,Automatic,1st Owner,1995 cc,5 Seats,4
47,Hyundai i20 1.4,600000,65392,Diesel,Manual,1st Owner,1396 cc,5 Seats,6
48,Mercedes-Benz CLA 200,2700000,37000,Petrol,Automatic,1st Owner,1991 cc,5 Seats,5
49,Maruti XL6 Zeta,1090000,9000,Petrol,Manual,1st Owner,1462 cc,6 Seats,3
50,Hyundai Grand i10,590000,32000,Petrol,Automatic,1st Owner,1197 cc,5 Seats,6
51,Mahindra XUV500 W8,650000,68000,Diesel,Manual,1st Owner,2179 cc,7 Seats,11
52,Hyundai i20 Magna,675000,13000,Petrol,Manual,1st Owner,1197 cc,5 Seats,6
53,Datsun RediGO AMT,370000,30000,Petrol,Automatic,1st Owner,999 cc,5 Seats,3
54,Honda Brio VX,525000,34300,Petrol,Automatic,1st Owner,1198 cc,5 Seats,8
55,Honda City i,725000,45000,Petrol,Automatic,1st Owner,1497 cc,5 Seats,8
56,Toyota Corolla Altis,850000,37000,Petrol,Manual,1st Owner,1798 cc,5 Seats,9
57,Jeep Compass 1.4,1400000,50000,Petrol,Manual,1st Owner,1368 cc,5 Seats,5
58,Volvo XC60 D4,1500000,105241,Diesel,Automatic,1st Owner,1985 cc,5 Seats,8
59,Toyota Corolla Altis,1390000,54000,Petrol,Manual,1st Owner,1798 cc,5 Seats,4
60,Hyundai Verna VTVT,890000,19600,Petrol,Manual,1st Owner,1591 cc,5 Seats,4
61,Audi A4 2.0,1689999,48000,Diesel,Automatic,1st Owner,1968 cc,5 Seats,8
62,Audi Q3 2.0,1390000,69500,Diesel,Automatic,1st Owner,1968 cc,5 Seats,11
63,BMW 5 Series,1500000,71000,Diesel,Automatic,2nd Owner,2993 cc,5 Seats,11
64,Porsche Cayenne S,4500000,48894,Diesel,Automatic,1st Owner,4134 cc,5 Seats,9
65,Maruti A-Star Zxi,153000,46257,Petrol,Manual,3rd Owner,998 cc,5 Seats,15
66,Ford Ecosport 1.5,509000,78264,Diesel,Manual,2nd Owner,1498 cc,5 Seats,8
67,Honda Jazz 1.2,546000,42451,Petrol,Automatic,1st Owner,1199 cc,5 Seats,7
68,Volkswagen Vento Diesel,273000,131861,Diesel,Manual,2nd Owner,1598 cc,5 Seats,11
69,Maruti Wagon R,180000,128004,Petrol,Manual,2nd Owner,998 cc,5 Seats,11
70,Chevrolet Beat Diesel,110000,150349,Diesel,Manual,1st Owner,936 cc,5 Seats,11
71,Maruti Wagon R,369000,29033,Petrol,Manual,1st Owner,998 cc,5 Seats,6
72,BMW 3 Series,1350000,99000,Diesel,Automatic,1st Owner,1995 cc,5 Seats,8
73,Renault KWID RXL,275000,47000,Petrol,Manual,1st Owner,799 cc,5 Seats,5
74,Maruti Baleno 1.3,550000,35000,Diesel,Manual,1st Owner,1248 cc,5 Seats,5
75,Mercedes-Benz C-Class C,975000,58000,Diesel,Automatic,1st Owner,2143 cc,5 Seats,10
76,Honda City S,400000,48000,Petrol,Manual,1st Owner,1497 cc,5 Seats,11
77,Honda Amaze VX,475000,45000,Petrol,Automatic,1st Owner,1198 cc,5 Seats,9
78,Hyundai EON D,190000,60000,Petrol,Manual,2nd Owner,814 cc,5 Seats,11
79,Hyundai i20 Magna,465000,23000,Petrol,Manual,1st Owner,1197 cc,5 Seats,9
80,Hyundai Grand i10,459999,45000,Petrol,Manual,1st Owner,1197 cc,5 Seats,4
81,Hyundai i10 Magna,325000,45000,Petrol,Manual,1st Owner,1086 cc,5 Seats,9
82,Maruti Ertiga VDI,525000,58000,Diesel,Manual,1st Owner,1248 cc,7 Seats,10
83,Hyundai i20 1.2,625000,48000,Petrol,Manual,1st Owner,1197 cc,5 Seats,5
84,BMW 2 Series,4000000,18000,Petrol,Automatic,1st Owner,1998 cc,5 Seats,2
85,Skoda Kushaq 1.0,1675000,16000,Petrol,Automatic,1st Owner,999 cc,5 Seats,1
86,Honda City i-VTEC,1000000,24000,Petrol,Manual,1st Owner,1497 cc,5 Seats,4
87,MG Hector Plus,1789999,36000,Diesel,Manual,1st Owner,1956 cc,7 Seats,2
88,Jeep Compass 1.4,1390000,35000,Petrol,Automatic,2nd Owner,1368 cc,5 Seats,4
89,Honda Amaze E,610000,64000,Petrol,Manual,1st Owner,1199 cc,5 Seats,4
90,Maruti Vitara Brezza,775000,72000,Diesel,Manual,1st Owner,1248 cc,5 Seats,6
91,Hyundai Grand i10,459999,29900,Petrol,Manual,1st Owner,1197 cc,5 Seats,8
92,Mahindra XUV700 AX5,2091000,20000,Diesel,Automatic,1st Owner,2198 cc,5 Seats,1
93,Tata Indigo VX,310000,160000,Diesel,Manual,1st Owner,1396 cc,5 Seats,10
94,Tata Tiago XZ,565000,16000,Petrol,Manual,1st Owner,1199 cc,5 Seats,3
95,Honda WR-V i-VTEC,900000,17000,Petrol,Manual,1st Owner,1199 cc,5 Seats,4
96,Lexus NX 300h,4200000,111000,Petrol,Automatic,1st Owner,2499 cc,5 Seats,5
97,Mercedes-Benz M-Class ML,2850000,38000,Diesel,Automatic,2nd Owner,2143 cc,5 Seats,8
98,Honda Jazz 1.5,550000,32000,Diesel,Manual,1st Owner,1498 cc,5 Seats,8
99,Volkswagen Polo 1.2,450000,67000,Petrol,Manual,1st Owner,1198 cc,5 Seats,8
100,Ford Ecosport 1.5,675000,50000,Petrol,Automatic,1st Owner,1496 cc,5 Seats,7
101,Maruti Swift VDI,180000,110000,Diesel,Manual,2nd Owner,1248 cc,5 Seats,13
102,Hyundai Verna VTVT,775000,51000,Petrol,Automatic,1st Owner,1591 cc,5 Seats,6
103,Hyundai Grand i10,550000,83000,Diesel,Manual,1st Owner,1186 cc,5 Seats,6
104,Audi Q3 35,2400000,38000,Diesel,Automatic,1st Owner,1968 cc,5 Seats,7
105,Hyundai Creta 1.6,1325000,58000,Diesel,Automatic,1st Owner,1582 cc,5 Seats,5
106,Hyundai Creta 1.6,1100000,36000,Petrol,Manual,1st Owner,1591 cc,5 Seats,5
107,Volkswagen Vento 1.0,1050000,23500,Petrol,Automatic,1st Owner,999 cc,5 Seats,3
108,Hyundai i20 1.2,650000,60000,Petrol,Manual,1st Owner,1197 cc,5 Seats,6
109,Skoda Superb LK,2500000,18000,Petrol,Automatic,1st Owner,1798 cc,5 Seats,5
110,Honda Amaze V,600000,36500,Petrol,Manual,1st Owner,1199 cc,5 Seats,6
